Date,spread,zscore,long_signal,short_signal,exit_signal
2015-01-02,18.90074184533256,,False,False,False
2015-01-05,19.07545437343235,,False,False,False
2015-01-06,19.570168473754283,,False,False,False
2015-01-07,19.430848669880092,,False,False,False
2015-01-08,19.52267467827024,,False,False,False
2015-01-09,19.205085075545163,,False,False,False
2015-01-12,18.91351578159464,,False,False,False
2015-01-13,18.920742586003733,,False,False,False
2015-01-14,18.77199919010076,,False,False,False
2015-01-15,18.59199888492498,,False,False,False
2015-01-16,18.589429853904957,,False,False,False
2015-01-20,19.165294275516434,,False,False,False
2015-01-21,19.392363361707766,,False,False,False
2015-01-22,19.44325007983433,,False,False,False
2015-01-23,19.06430084089368,,False,False,False
2015-01-26,18.714926678364332,,False,False,False
2015-01-27,18.589692740471726,,False,False,False
2015-01-28,18.365765820314433,,False,False,False
2015-01-29,18.469483693088343,,False,False,False
2015-01-30,18.093150564140686,,False,False,False
2015-02-02,18.131736630978057,,False,False,False
2015-02-03,17.95765410656519,,False,False,False
2015-02-04,17.909223247927823,,False,False,False
2015-02-05,18.016762589602507,,False,False,False
2015-02-06,17.652155382439616,,False,False,False
2015-02-09,17.61424861846899,,False,False,False
2015-02-10,18.287181341064073,,False,False,False
2015-02-11,17.66413878160347,,False,False,False
2015-02-12,17.496128879269644,,False,False,False
2015-02-13,17.59665694122155,-1.5074226937525688,False,False,False
2015-02-17,17.60613302141097,-1.3829193831950366,False,False,False
2015-02-18,17.28743881844316,-1.6987976443821833,False,False,False
2015-02-19,17.817545360083184,-0.8803779695535835,False,False,False
2015-02-20,17.59388160940016,-1.1436187864603866,False,False,False
2015-02-23,17.37791003579709,-1.3957915787417063,False,False,False
2015-02-24,17.625921769185606,-0.949699831111453,False,False,False
2015-02-25,17.565606332750086,-0.9784970858728288,False,False,False
2015-02-26,18.08141820449282,-0.11401872032585816,False,False,True
2015-02-27,18.943564142978833,1.2729593004159792,False,False,False
2015-03-02,18.838645008901906,1.0766841997141245,False,False,False
2015-03-03,18.736289213749824,0.8995047394628531,False,False,False
2015-03-04,18.54220594866579,0.6491363471257938,False,False,False
2015-03-05,18.474196457752402,0.6326613283854214,False,False,False
2015-03-06,17.855035424846335,-0.4170872274035531,False,False,True
2015-03-09,17.757023339938808,-0.5626575873189442,False,False,False
2015-03-10,17.453202351069983,-1.1370389211715506,False,False,False
2015-03-11,17.06006238987793,-1.8185089302730795,False,False,False
2015-03-12,17.018228614870218,-1.737764519991621,False,False,False
2015-03-13,16.700271895024983,-2.1213062722912475,True,False,False
2015-03-16,16.802209679386674,-1.7518356538155357,False,False,False
2015-03-17,17.347025087017123,-0.729180772697811,False,False,False
2015-03-18,17.311526820655217,-0.7482370863957588,False,False,False
2015-03-19,16.864409151880295,-1.4256180856781766,False,False,False
2015-03-20,17.189278612990115,-0.8183692191600243,False,False,False
2015-03-23,17.033777600046182,-1.0271835045962983,False,False,False
2015-03-24,16.881318620187663,-1.207519871142479,False,False,False
2015-03-25,17.008962367271906,-0.9364066692667763,False,False,False
2015-03-26,16.817913788786264,-1.17197785143382,False,False,False
2015-03-27,16.4691734446411,-1.594006990785203,False,False,False
2015-03-30,16.758907658904413,-1.0894468521945146,False,False,False
2015-03-31,17.020373943004664,-0.6679373873274665,False,False,False
2015-04-01,17.280795967423447,-0.2845039584240745,False,False,True
2015-04-02,17.133149885177613,-0.46841568212626444,False,False,True
2015-04-06,17.428748826228183,-0.025270184325755837,False,False,True
2015-04-07,17.335190091306284,-0.16093376749924906,False,False,True
2015-04-08,17.259484608615686,-0.2544559305532976,False,False,True
2015-04-09,17.340740754949046,-0.12380268687078137,False,False,True
2015-04-10,17.20765410656519,-0.28131462768075566,False,False,True
2015-04-13,17.19252313217962,-0.240640460885125,False,False,True
2015-04-14,16.766289587537123,-0.9313384557575979,False,False,False
2015-04-15,16.621842539998244,-1.2130460894725028,False,False,False
2015-04-16,16.86613293743459,-0.6816572511703133,False,False,False
2015-04-17,16.723621102531542,-1.1111296311237338,False,False,False
2015-04-20,16.913829844739148,-0.4761712637305231,False,False,True
2015-04-21,16.96492827285475,-0.2352875429320885,False,False,True
2015-04-22,17.371893716575972,1.3729087881964093,False,False,False
2015-04-23,17.3933071456317,1.3661195970495075,False,False,False
2015-04-24,17.471108657276933,1.5357284068964692,False,False,False
2015-04-27,17.578441698150275,1.7671245410739156,False,False,False
2015-04-28,17.53566545080154,1.493054990086235,False,False,False
2015-04-29,17.26550986881426,0.5742584718625351,False,False,False
2015-04-30,17.15341322950805,0.20495241678407802,False,False,True
2015-05-01,17.395140288019565,0.9845603112336784,False,False,False
2015-05-04,17.34917069805907,0.797595810724799,False,False,False
2015-05-05,17.269590692492038,0.49452440412299,False,False,True
2015-05-06,17.164824805240812,0.10292562573043978,False,False,True
2015-05-07,17.286030690523784,0.49253291084991946,False,False,True
2015-05-08,17.22152507357691,0.22627971406973446,False,False,True
2015-05-11,17.230740144597483,0.19023457395856297,False,False,True
2015-05-12,17.01765166515894,-0.7320409783239686,False,False,False
2015-05-13,17.325975020285707,0.5222403848770961,False,False,False
2015-05-14,17.38471854650829,0.749280601048784,False,False,False
2015-05-15,17.35058235776821,0.5736876836163289,False,False,False
2015-05-18,17.19241377534605,-0.053196529373738394,False,False,True
2015-05-19,17.20702438578576,0.026770153920861486,False,False,True
2015-05-20,17.310999453031258,0.46015337454057703,False,False,True
2015-05-21,17.31157828014045,0.46777837339353434,False,False,True
2015-05-22,17.522886388259273,1.2815925146764864,False,False,False
2015-05-26,17.418544203893628,0.8108428392306947,False,False,False
2015-05-27,17.40335852114056,0.7006217548309618,False,False,False
2015-05-28,17.25602837943714,-0.029222521566605257,False,False,True
2015-05-29,17.231054207741987,-0.23087690441738487,False,False,True
2015-06-01,17.324247702941648,0.19514934699233605,False,False,True
2015-06-02,17.354564360080296,0.3338027349828865,False,False,True
